,name,aroma,colour,country_of_origin,family,flavour,ingredients,producers,region,rind,texture,type,vegetarian,synonyms,fat_content,alternative_spellings,calcium_content,fat_content_(in_dry_matter)
0,Kabritt,"earthy, rich",ivory,canada,tomme,"buttery, salty, tangy",pasteurized goat's milk,the farm house natural cheeses,british columbia,natural,buttery,"hard, artisan",no,,,,,
1,abbaye-de-belloc,lanoline,yellow,france,,burnt caramel,unpasteurized cow's and sheep's milk,abbaye de notre-dame de belloc,pays basque,natural,"creamy, dense and firm","semi-hard, artisan",yes,abbaye notre-dame de belloc,,,,
2,abbaye-de-belval,aromatic,ivory,france,,,cow's milk,,,washed,elastic,semi-hard,no,,40-46%,,,
3,abbaye-de-citeaux,"barnyardy, earthy",white,france,,"acidic, milky, smooth",unpasteurized cow's milk,frères frédéric and joel,burgundy,washed,"creamy, dense and smooth","semi-soft, artisan, brined",no,,,,,
4,abbaye-de-timadeuc,,pale yellow,france,,,pasteurized cow's milk,,province of brittany,washed,soft,semi-hard,no,,,,,
5,abbaye-du-mont-des-cats,floral,pale yellow,france,,"milky, salty",pasteurized cow's milk,abbaye du mont des cats,nord-pas-de-calais,washed,smooth and supple,"semi-soft, artisan, brined",no,,50%,,,
6,abbots-gold,aromatic,pale yellow,"england, great britain and united kingdom",cheddar,"mild, sweet, tangy",pasteurized cow's milk,wensleydale creamery,north yorkshire,natural,"creamy, crumbly, dense and semi firm",semi-hard,yes,"english cheddar with caramelized onions, caramelised onion cheddar, abbot's gold cheddar with caramelised onion",,,,
7,abertam,,pale yellow,czech republic,,"acidic, strong, tangy",sheep's milk,,karlovy vary,natural,firm,"hard, artisan",no,,45%,,,
8,abondance,nutty,pale yellow,france,tomme,"acidic, buttery, fruity, sweet",unpasteurized cow's milk,,"haute-savoie, abondance",natural,"creamy, open and supple","semi-hard, artisan",no,,48%,tomme d'abondance,,
9,acapella,"fresh, herbal",,united states,,buttery,goat's milk,andante dairy,california,,,"soft, soft-ripened",no,,,,,
10,accasciato,"aromatic, fresh",pale yellow,italy,,sweet,buffalo's and cow's milk,casa madaio,campania,natural,firm,semi-hard,no,,,,,
